video_id,title,channel_title,trending_date,views,likes,comment_count,engagement_rate,view_zscore,like_zscore,comment_zscore,is_anomaly
f2MZnJlDJ4c,Kevin Hart Leads 2018 NBA All-Star Game Introductions | Team LeBron & Team Stephen,NBA,18.23.02,2517992,22560,2552,0.9,4.6,3.94,3.73,true
3BJU2drrtCM,How a TV Works in Slow Motion - The Slow Mo Guys,The Slow Mo Guys,18.24.01,10727660,468294,19391,4.37,4.59,4.84,4.12,true
_EvMYEfF_hQ,Stranger Things Cast Answer the Web's Most Searched Questions | WIRED,WIRED,17.25.11,11307303,405859,30726,3.59,4.58,4.57,4.93,true
7iQn-toQp6A,Benjamin Glaze Auditions for American Idol With Nick Jonas' Levels - American Idol 2018 on ABC,American Idol,18.18.03,6151213,15607,4350,0.25,4.55,-0.88,2.24,true
0XuOkYlUWIs,13 Reasons Why: Season 2 | Official Trailer [HD] | Netflix,Netflix,18.15.05,6760593,229250,22123,3.39,4.51,5.56,5.96,true
1C9STKF0Lv4,Cristiano Ronaldo's ridiculous bicycle kick vs. Juventus in UEFA Champions League | ESPN FC,ESPN,18.06.04,2248120,31981,1980,1.42,4.5,7.29,0.03,true
O6BODAJVYc8,"2017, in 7 minutes",Vox,18.02.01,2113854,83213,22375,3.94,4.5,6.2,5.95,true
rFAddL8g8mw,I Went To Japan To Make The Most Difficult Omelet,Tasty,18.07.06,5065000,181845,10202,3.59,4.39,4.51,4.91,true
fEqzx-36pOo,Camila Cabello - Havana ft. Miranda Sings (Tana Mongeau Parody),Miranda Sings,17.14.12,1881309,95216,7689,5.06,4.32,4.37,3.69,true
jPEYpryMp2s,Solo: A Star Wars Story Official Trailer,Star Wars,18.16.04,10271274,183101,34633,1.78,4.32,3.88,3.56,true
